,importance
duration_value,0.7608050498204764
genre_enc,0.16800214208131883
rating_enc,0.02977731455654319
years_to_add,0.011810537103107895
genre_count,0.01112964361609135
country_enc,0.010557791345698867
release_year,0.007917521476763433
